"","Date","CellLine","drug","conc","rate1","phase"
"68",20151106,"SKMEL5 Subclone01","plx",8,0.0034566510681236,"idling"
"69",20151106,"SKMEL5 Subclone01","plx",8,0.00128161154295285,"idling"
"70",20151106,"SKMEL5 Subclone01","plx",8,0.000163976355083867,"idling"
"71",20151106,"SKMEL5 Subclone01","plx",8,0.000984880495488663,"idling"
"72",20151106,"SKMEL5 Subclone01","plx",8,0.00229975923282062,"idling"
"73",20151106,"SKMEL5 Subclone01","plx",8,0.00113379371166145,"idling"
"74",20151106,"SKMEL5 Subclone01","plx",8,0.000926656862796396,"idling"
"75",20150315,"SKMEL5 Subclone01","plx",8,-0.00104173330551077,"idling"
"76",20150315,"SKMEL5 Subclone01","plx",8,-0.00173878328037842,"idling"
"77",20150315,"SKMEL5 Subclone01","plx",8,-0.000758518035252411,"idling"
"78",20150315,"SKMEL5 Subclone01","plx",8,-0.00150338258207674,"idling"
"79",20150315,"SKMEL5 Subclone01","plx",8,-0.000213731602679044,"idling"
"80",20150315,"SKMEL5 Subclone01","plx",8,-0.00168907052316341,"idling"
"81",20150315,"SKMEL5 Subclone01","plx",8,-0.00179027906862044,"idling"
"82",20150315,"SKMEL5 Subclone01","plx",8,-0.000563055465013586,"idling"
"83",20150315,"SKMEL5 Subclone01","plx",8,-0.000367499460041349,"idling"
"84",20150315,"SKMEL5 Subclone01","plx",8,-0.000148283236261179,"idling"
"85",20150315,"SKMEL5 Subclone01","plx",8,-0.000927870671073096,"idling"
"86",20150315,"SKMEL5 Subclone01","plx",8,-0.000998978199775764,"idling"
"87",20150315,"SKMEL5 Subclone01","plx",8,-0.0010039609351972,"idling"
"88",20150315,"SKMEL5 Subclone01","plx",8,-0.000631590106877144,"idling"
"89",20150315,"SKMEL5 Subclone01","plx",8,-0.000741487935073381,"idling"
"90",20150315,"SKMEL5 Subclone01","plx",8,-0.00215000157675128,"idling"
"91",20150315,"SKMEL5 Subclone01","plx",8,-0.00153224286148943,"idling"
"92",20150315,"SKMEL5 Subclone01","plx",8,-0.000645288531896417,"idling"
"93",20150315,"SKMEL5 Subclone01","plx",8,-0.0016936480256174,"idling"
"94",20150315,"SKMEL5 Subclone01","plx",8,-0.00115583912004767,"idling"
"95",20150315,"SKMEL5 Subclone01","plx",8,-0.0022482267694111,"idling"
"96",20150315,"SKMEL5 Subclone01","plx",8,-0.0010335444124616,"idling"
"97",20150315,"SKMEL5 Subclone01","plx",8,-0.0017365402179385,"idling"
"98",20150315,"SKMEL5 Subclone01","plx",8,-0.000560757392497125,"idling"
"99",20150315,"SKMEL5 Subclone01","plx",8,-0.000689598024724428,"idling"
"100",20150315,"SKMEL5 Subclone01","plx",8,-0.000456648012447226,"idling"
"101",20150315,"SKMEL5 Subclone01","plx",8,-0.000730704379519661,"idling"
"102",20150315,"SKMEL5 Subclone01","plx",8,-0.00075358683039224,"idling"
"103",20150315,"SKMEL5 Subclone01","plx",8,-0.000502362193373121,"idling"
"104",20150315,"SKMEL5 Subclone01","plx",8,0.000548436346999883,"idling"
"105",20150315,"SKMEL5 Subclone01","plx",8,-0.000442653033229562,"idling"
"106",20150315,"SKMEL5 Subclone01","plx",8,-0.000969067929764538,"idling"
"107",20150315,"SKMEL5 Subclone01","plx",8,-0.000783350410535289,"idling"
"108",20150315,"SKMEL5 Subclone01","plx",8,-0.00124320330007365,"idling"
"109",20150315,"SKMEL5 Subclone01","plx",8,-0.000763616811378595,"idling"
"110",20150315,"SKMEL5 Subclone01","plx",8,0.00024773468547245,"idling"
"111",20150315,"SKMEL5 Subclone01","plx",8,-0.0024315408612152,"idling"
"112",20150315,"SKMEL5 Subclone01","plx",8,0.000224394229603078,"idling"
"113",20150315,"SKMEL5 Subclone01","plx",8,4.52877373857714e-05,"idling"
"114",20150315,"SKMEL5 Subclone01","plx",8,-0.00135405646097488,"idling"
"115",20150315,"SKMEL5 Subclone01","plx",8,-0.00101005886743876,"idling"
"116",20150315,"SKMEL5 Subclone01","plx",8,0.000571300271197711,"idling"
"117",20150315,"SKMEL5 Subclone01","plx",8,-0.000245686539475121,"idling"
"118",20150315,"SKMEL5 Subclone01","plx",8,0.000581289680923594,"idling"
"119",20150315,"SKMEL5 Subclone01","plx",8,0.000966444793207514,"idling"
"120",20150315,"SKMEL5 Subclone01","plx",8,0.000878324932774106,"idling"
"121",20150315,"SKMEL5 Subclone01","plx",8,-0.000531862888586226,"idling"
"122",20150315,"SKMEL5 Subclone01","plx",8,-0.000653692328510809,"idling"
"123",20150315,"SKMEL5 Subclone01","plx",8,-0.00126918410022099,"idling"
"124",20150315,"SKMEL5 Subclone01","plx",8,-0.000599182962525963,"idling"
"125",20150315,"SKMEL5 Subclone01","plx",8,-0.00045217903328742,"idling"
"126",20150315,"SKMEL5 Subclone01","plx",8,0.000571319186779119,"idling"
"127",20150315,"SKMEL5 Subclone01","plx",8,-0.000684958569509333,"idling"
"128",20150315,"SKMEL5 Subclone01","plx",8,-0.00131732866802407,"idling"
"129",20150315,"SKMEL5 Subclone01","plx",8,-0.00166908861416216,"idling"
"130",20150315,"SKMEL5 Subclone01","plx",8,-0.00148115730638919,"idling"
"131",20150315,"SKMEL5 Subclone01","plx",8,0.000674151856879483,"idling"
"132",20150315,"SKMEL5 Subclone01","plx",8,-0.00136443408761874,"idling"
"133",20150315,"SKMEL5 Subclone01","plx",8,-0.00207604041459317,"idling"
"134",20150315,"SKMEL5 Subclone01","plx",8,-0.00158141624568893,"idling"
