"","Measurement","Well","Group","Time","OCR","ECAR","PPR","Date"
"166",2,"F10","SC07BasalMito",7,185.3858945,76.95537513,124.5753613,"20150712"
"167",2,"F11","SC07BasalMito",7,208.9329742,83.62731741,135.3759014,"20150712"
"168",2,"F12","SC07BasalMito",7,163.3277225,84.37149738,136.58058,"20150712"
"175",2,"G07","SC10BasalMito",7,138.0856743,59.18756135,95.81282431,"20150712"
"176",2,"G08","SC10BasalMito",7,153.4298467,66.66602002,107.9189532,"20150712"
"177",2,"G09","SC10BasalMito",7,197.3693973,71.05626486,115.0258815,"20150712"
"178",2,"G10","SC10BasalMito",7,188.6263235,74.75100425,121.0069257,"20150712"
"179",2,"G11","SC10BasalMito",7,154.9723119,65.14405811,105.4552013,"20150712"
"180",2,"G12","SC10BasalMito",7,192.601785,94.26367868,152.5940431,"20150712"
"199",3,"A07","SC01BasalGlyco",14,87.84870017,16.49724435,26.70573915,"20150712"
"200",3,"A08","SC01BasalGlyco",14,105.340127,13.51072655,21.87116415,"20150712"
"201",3,"A09","SC01BasalGlyco",14,76.26948283,8.878948848,14.37324239,"20150712"
"202",3,"A10","SC01BasalGlyco",14,79.60741788,14.83412767,24.01348588,"20150712"
"203",3,"A11","SC01BasalGlyco",14,104.8421461,14.91072895,24.13748803,"20150712"
"211",3,"B07","SC07BasalGlyco",14,211.5252215,47.50572273,76.90226396,"20150712"
"212",3,"B08","SC07BasalGlyco",14,182.3548818,59.01823285,95.53871533,"20150712"
"213",3,"B09","SC07BasalGlyco",14,228.2947159,53.94537913,87.32677973,"20150712"
"214",3,"B10","SC07BasalGlyco",14,229.5820548,65.73053159,106.4045845,"20150712"
"215",3,"B11","SC07BasalGlyco",14,244.8835102,63.9389364,103.5043502,"20150712"
"216",3,"B12","SC07BasalGlyco",14,206.0627818,46.20778316,74.80115938,"20150712"
"223",3,"C07","SC10BasalGlyco",14,171.0465736,48.02228452,77.73847418,"20150712"
"224",3,"C08","SC10BasalGlyco",14,209.9331844,56.12311552,90.85209941,"20150712"
"225",3,"C09","SC10BasalGlyco",14,177.1592567,53.91780977,87.28215045,"20150712"
"226",3,"C10","SC10BasalGlyco",14,220.5670334,56.45892261,91.39570391,"20150712"
"227",3,"C11","SC10BasalGlyco",14,210.966484,60.44628637,97.85044837,"20150712"
"228",3,"C12","SC10BasalGlyco",14,206.2595902,45.41179559,73.5126147,"20150712"
"247",3,"E07","SC01BasalMito",14,99.1250194,51.90183864,84.01869639,"20150712"
"248",3,"E08","SC01BasalMito",14,105.574743,56.47299468,91.41848379,"20150712"
"249",3,"E09","SC01BasalMito",14,118.7516634,60.58710633,98.07840772,"20150712"
"250",3,"E10","SC01BasalMito",14,109.3599371,60.23412981,97.50700933,"20150712"
"251",3,"E11","SC01BasalMito",14,109.1160372,55.30857593,89.53352272,"20150712"
"252",3,"E12","SC01BasalMito",14,78.82186435,36.13713389,58.49879234,"20150712"
"259",3,"F07","SC07BasalMito",14,230.2647361,89.54396258,144.9537666,"20150712"
"260",3,"F08","SC07BasalMito",14,236.3307573,77.51061894,125.4741899,"20150712"
"261",3,"F09","SC07BasalMito",14,241.9140991,84.65901923,137.0460203,"20150712"
"262",3,"F10","SC07BasalMito",14,184.0242268,79.28855991,128.3523208,"20150712"
"263",3,"F11","SC07BasalMito",14,206.0585415,85.10705602,137.7713023,"20150712"
"264",3,"F12","SC07BasalMito",14,161.9293578,85.50088581,138.408834,"20150712"
"271",3,"G07","SC10BasalMito",14,135.2288794,61.67925001,99.84636992,"20150712"
"272",3,"G08","SC10BasalMito",14,151.2257285,69.67585913,112.7912808,"20150712"
"273",3,"G09","SC10BasalMito",14,194.4112276,75.46886999,122.1690067,"20150712"
"274",3,"G10","SC10BasalMito",14,187.8234676,76.80882806,124.3381309,"20150712"
"275",3,"G11","SC10BasalMito",14,153.5665707,67.40440586,109.1142522,"20150712"
"276",3,"G12","SC10BasalMito",14,191.2524496,95.31202384,154.2911042,"20150712"
"295",4,"A07","SC01BasalGlyco",21,72.53309346,59.00055972,95.51010608,"20150712"
"296",4,"A08","SC01BasalGlyco",21,85.14679113,56.92300373,92.14695845,"20150712"
"297",4,"A09","SC01BasalGlyco",21,64.60367504,41.58191843,67.31280956,"20150712"
"298",4,"A10","SC01BasalGlyco",21,64.45911253,45.73573034,74.03700027,"20150712"
"299",4,"A11","SC01BasalGlyco",21,77.32103063,55.52910148,89.89050947,"20150712"
"307",4,"B07","SC07BasalGlyco",21,183.9541369,83.14554307,134.5960051,"20150712"
"308",4,"B08","SC07BasalGlyco",21,155.2612384,110.9033879,179.5304044,"20150712"
"309",4,"B09","SC07BasalGlyco",21,183.5474952,106.0440944,171.6641801,"20150712"
"310",4,"B10","SC07BasalGlyco",21,192.0621907,118.6457474,192.0637359,"20150712"
"311",4,"B11","SC07BasalGlyco",21,216.1532424,116.7616963,189.013834,"20150712"
"312",4,"B12","SC07BasalGlyco",21,177.0521667,95.87232039,155.1981123,"20150712"
"319",4,"C07","SC10BasalGlyco",21,137.9765697,91.41104284,147.9761962,"20150712"
"320",4,"C08","SC10BasalGlyco",21,178.9121366,104.1658343,168.6236525,"20150712"
"321",4,"C09","SC10BasalGlyco",21,155.0142525,100.5366857,162.7487868,"20150712"
"322",4,"C10","SC10BasalGlyco",21,200.852961,103.3720881,167.3387362,"20150712"
"323",4,"C11","SC10BasalGlyco",21,186.3770238,105.5366103,170.8426648,"20150712"
"324",4,"C12","SC10BasalGlyco",21,174.7448104,95.82186764,155.1164393,"20150712"
"343",4,"E07","SC01BasalMito",21,66.20177952,63.20677145,102.3191216,"20150712"
"344",4,"E08","SC01BasalMito",21,80.57207836,65.28949724,105.6906381,"20150712"
"345",4,"E09","SC01BasalMito",21,79.86267706,70.03089565,113.3660139,"20150712"
"346",4,"E10","SC01BasalMito",21,85.20004369,65.83256969,106.5697638,"20150712"
"347",4,"E11","SC01BasalMito",21,62.05519838,68.95948223,111.6316098,"20150712"
"348",4,"E12","SC01BasalMito",21,48.31813802,46.22767936,74.83336734,"20150712"
"355",4,"F07","SC07BasalMito",21,188.3026459,111.0249075,179.7271203,"20150712"
"356",4,"F08","SC07BasalMito",21,203.0652546,98.25200779,159.0503502,"20150712"
"357",4,"F09","SC07BasalMito",21,189.6784642,102.0195175,165.1491949,"20150712"
"358",4,"F10","SC07BasalMito",21,144.7335837,92.32642837,149.4580222,"20150712"
"359",4,"F11","SC07BasalMito",21,122.5526474,112.9002205,182.762877,"20150712"
"360",4,"F12","SC07BasalMito",21,106.884093,110.3567454,178.6454994,"20150712"
"367",4,"G07","SC10BasalMito",21,94.56588167,78.23670604,126.6495797,"20150712"
"368",4,"G08","SC10BasalMito",21,128.4799591,84.92019472,137.4688112,"20150712"
"369",4,"G09","SC10BasalMito",21,127.2995761,96.7935817,156.6894501,"20150712"
"370",4,"G10","SC10BasalMito",21,163.8493294,91.98418054,148.9039915,"20150712"
"371",4,"G11","SC10BasalMito",21,98.98970846,87.0107765,140.853045,"20150712"
"372",4,"G12","SC10BasalMito",21,144.4173223,116.6298224,188.8003566,"20150712"
"391",5,"A07","SC01BasalGlyco",27,75.01062129,65.80637482,106.5273596,"20150712"
"392",5,"A08","SC01BasalGlyco",27,87.22981438,68.75899669,111.3070638,"20150712"
"393",5,"A09","SC01BasalGlyco",27,66.06320646,51.50376854,83.37430051,"20150712"
"394",5,"A10","SC01BasalGlyco",27,67.02566364,56.08604794,90.79209441,"20150712"
"395",5,"A11","SC01BasalGlyco",27,76.87818421,66.29699224,107.321571,"20150712"
"403",5,"B07","SC07BasalGlyco",27,189.4228279,92.01051643,148.946624,"20150712"
"404",5,"B08","SC07BasalGlyco",27,159.9116149,114.2815077,184.9989047,"20150712"
"405",5,"B09","SC07BasalGlyco",27,193.1103601,114.6378312,185.5757211,"20150712"
"406",5,"B10","SC07BasalGlyco",27,200.9881719,119.1693028,192.9112674,"20150712"
"407",5,"B11","SC07BasalGlyco",27,224.3805762,118.5208045,191.8614784,"20150712"
"408",5,"B12","SC07BasalGlyco",27,182.611043,106.919239,173.0808641,"20150712"
"415",5,"C07","SC10BasalGlyco",27,143.3349751,94.26627935,152.598253,"20150712"
"416",5,"C08","SC10BasalGlyco",27,184.1641632,105.7484567,171.1856017,"20150712"
"417",5,"C09","SC10BasalGlyco",27,160.1690871,100.6689198,162.9628474,"20150712"
"418",5,"C10","SC10BasalGlyco",27,205.2347507,108.3462089,175.390843,"20150712"
"419",5,"C11","SC10BasalGlyco",27,194.1154507,105.1967644,170.2925222,"20150712"
"420",5,"C12","SC10BasalGlyco",27,182.6499992,103.7686062,167.9806198,"20150712"
"439",5,"E07","SC01BasalMito",27,49.91040255,71.90072799,116.3928985,"20150712"
"440",5,"E08","SC01BasalMito",27,50.72597922,76.73305254,124.2154654,"20150712"
"441",5,"E09","SC01BasalMito",27,55.67305038,80.44204383,130.2195806,"20150712"
"442",5,"E10","SC01BasalMito",27,60.18631851,78.11044765,126.4451927,"20150712"
"443",5,"E11","SC01BasalMito",27,47.2077276,77.63250174,125.6714938,"20150712"
"444",5,"E12","SC01BasalMito",27,43.50170278,46.70334608,75.60337664,"20150712"
"451",5,"F07","SC07BasalMito",27,144.1211479,131.787865,213.3381959,"20150712"
"452",5,"F08","SC07BasalMito",27,159.8973039,115.4809659,186.9405876,"20150712"
"453",5,"F09","SC07BasalMito",27,142.4002329,126.2006201,204.2935639,"20150712"
"454",5,"F10","SC07BasalMito",27,135.2933618,98.00899067,158.6569541,"20150712"
"455",5,"F11","SC07BasalMito",27,76.34885358,137.6131229,222.7681233,"20150712"
"456",5,"F12","SC07BasalMito",27,68.9428083,143.090593,231.635052,"20150712"
"463",5,"G07","SC10BasalMito",27,72.32465756,89.84957184,145.4484869,"20150712"
"464",5,"G08","SC10BasalMito",27,107.8930781,97.09730606,157.181119,"20150712"
"465",5,"G09","SC10BasalMito",27,100.2956169,118.6362612,192.0483797,"20150712"
"466",5,"G10","SC10BasalMito",27,139.7537889,103.036638,166.7957096,"20150712"
"467",5,"G11","SC10BasalMito",27,67.68089232,106.704369,172.7330326,"20150712"
"468",5,"G12","SC10BasalMito",27,97.41271113,142.8661346,231.2716986,"20150712"
"487",6,"A07","SC01BasalGlyco",34,75.65661168,69.70126492,112.8324077,"20150712"
"488",6,"A08","SC01BasalGlyco",34,86.69339518,73.70795057,119.3184304,"20150712"
"489",6,"A09","SC01BasalGlyco",34,66.56434298,55.01581346,89.05959883,"20150712"
"490",6,"A10","SC01BasalGlyco",34,66.81275314,58.89267866,95.33546821,"20150712"
"491",6,"A11","SC01BasalGlyco",34,76.03985622,68.30608946,110.5738976,"20150712"
"499",6,"B07","SC07BasalGlyco",34,188.9078427,96.36229974,155.9912908,"20150712"
"500",6,"B08","SC07BasalGlyco",34,158.8913555,117.687309,190.5122158,"20150712"
"501",6,"B09","SC07BasalGlyco",34,191.979776,118.5999496,191.9895984,"20150712"
